OTU ID,SampleID,Well,Filter,Date,Well/Filter
XA22,Athens 0.2 10/27/15,Athens,0.2,10/2015,Athens 0.2
TG22,Greene 0.2 4/2016,Greene,0.2,4/2016,Greene 0.2
TL22,Licking 0.2 4/2016,Licking,0.2,4/2016,Licking 0.2
TA12,Athens 0.1 4/2016,Athens,0.1,4/2016,Athens 0.1
PA22,Athens 0.2 7/2016,Athens,0.2,7/2016,Athens 0.2
TL12,Licking 0.1 4/2016,Licking,0.1,4/2016,Licking 0.1
HA22,Athens 0.2 2/2016,Athens,0.2,2/2016,Athens 0.2
HG12,Greene 0.1 2/2016,Greene,0.1,2/2016,Greene 0.1
TG11,Greene 0.1 4/2016,Greene,0.1,4/2016,Greene 0.1
HA12,Athens 0.1 2/2016,Athens,0.1,2/2016,Athens 0.1
HG22,Greene 0.2 2/2016,Greene,0.2,2/2016,Greene 0.2
PL22,Licking 0.2 7/2016,Licking,0.2,7/2016,Licking 0.2
HG11,Greene 0.1 2/2016,Greene,0.1,2/2016,Greene 0.1
TA22,Athens 0.2 4/2016,Athens,0.2,4/2016,Athens 0.2
TL21,Licking 0.2 4/2016,Licking,0.2,4/2016,Licking 0.2
PA12,Athens 0.1 7/2016,Athens,0.1,7/2016,Athens 0.1
PG11,Greene 0.1 7/2016,Greene,0.1,7/2016,Greene 0.1
XG22,Greene 0.2 10/27/15,Greene,0.2,10/2015,Greene 0.2
XG21,Greene 0.2 10/27/15,Greene,0.2,10/2015,Greene 0.2
4G21,Greene 0.2 4/15/15,Greene,0.2,4/2015,Greene 0.2
7G22,Greene 0.2 7/22/15,Greene,0.2,7/2015,Greene 0.2
7A22,Athens 0.2 7/22/15,Athens,0.2,7/2015,Athens 0.2
TG21,Greene 0.2 4/2016,Greene,0.2,4/2016,Greene 0.2
PG22,Greene 0.2 7/2016,Greene,0.2,7/2016,Greene 0.2
PG21,Greene 0.2 7/2016,Greene,0.2,7/2016,Greene 0.2
PL12,Licking 0.1 7/2016,Licking,0.1,7/2016,Licking 0.1
XB06,Licking 0.1 7/8/14,Licking,0.1,7/2014,Licking 0.1
YA01,Greene 0.2 10/7/14,Greene,0.2,10/2014,Greene 0.2
YB01,Greene 0.2 10/7/14,Greene,0.2,10/2014,Greene 0.2
XA01,Greene 0.2 7/8/14,Greene,0.2,7/2014,Greene 0.2
7G21,Greene 0.2 7/22/15,Greene,0.2,7/2015,Greene 0.2
YB02,Greene 0.1 10/7/14,Greene,0.1,10/2014,Greene 0.1
4G22,Greene 0.2 4/15/15,Greene,0.2,4/2015,Greene 0.2
XL22,Licking 0.2 10/27/15,Licking,0.2,10/2015,Licking 0.2
HG21,Greene 0.2 2/2016,Greene,0.2,2/2016,Greene 0.2
HA21,Athens 0.2 2/2016,Athens,0.2,2/2016,Athens 0.2
G202,Greene 0.2 1/19/15,Greene,0.2,1/2015,Greene 0.2
